old_name,new_name
DUID,panel_encrypted_du_identifier
PID,person_number
DUPERSID,person_id_duid_pid
PANEL,panel_number
FAMID31,family_id_student_merged_in_r3_1
FAMID42,family_id_student_merged_in_r4_2
FAMID53,family_id_student_merged_in_r5_3
FAMID20,family_id_student_merged_in_12_31_20
FAMIDYR,annual_family_identifier
CPSFAMID,cps_like_family_identifier
FCSZ1231,fam_size_responding_12_31_cps_family
FCRP1231,ref_person_of_12_31_cps_family
RULETR31,ru_letter_r3_1
RULETR42,ru_letter_r4_2
RULETR53,ru_letter_r5_3
RULETR20,ru_letter_as_of_12_31_20
RUSIZE31,ru_size_r3_1
RUSIZE42,ru_size_r4_2
RUSIZE53,ru_size_r5_3
RUSIZE20,ru_size_as_of_12_31_20
RUCLAS31,ru_fielded_as_standard_new_student_r3_1
RUCLAS42,ru_fielded_as_standard_new_student_r4_2
RUCLAS53,ru_fielded_as_standard_new_student_r5_3
RUCLAS20,ru_fielded_as_standard_new_stud_12_31_20
FAMSZE31,ru_size_including_students_r3_1
FAMSZE42,ru_size_including_students_r4_2
FAMSZE53,ru_size_including_students_r5_3
FAMSZE20,ru_size_including_student_as_of_12_31_20
FMRS1231,member_of_responding_12_31_family
FAMS1231,family_size_of_responding_12_31_family
FAMSZEYR,size_of_responding_annualized_family
FAMRFPYR,reference_person_of_annualized_family
REGION31,census_region_r3_1
REGION42,census_region_r4_2
REGION53,census_region_r5_3
REGION20,census_region_as_of_12_31_20
REFPRS31,reference_person_at_r3_1
REFPRS42,reference_person_at_r4_2
REFPRS53,reference_person_at_r5_3
REFPRS20,reference_person_as_of_12_31_20
RESP31,v_1st_respondent_indicator_for_r3_1
RESP42,v_1st_respondent_indicator_for_r4_2
RESP53,v_1st_respondent_indicator_for_r5_3
RESP20,v_1st_respondent_indicator_as_of_12_31_20
PROXY31,was_respondent_a_proxy_in_r3_1
PROXY42,was_respondent_a_proxy_in_r4_2
PROXY53,was_respondent_a_proxy_in_r5_3
PROXY20,was_respondent_a_proxy_as_of_12_31_20
INTVLANG,language_interview_was_completed
BEGRFM31,r3_1_reference_period_begin_date_month
BEGRFY31,r3_1_reference_period_begin_date_year
ENDRFM31,r3_1_reference_period_end_date_month
ENDRFY31,r3_1_reference_period_end_date_year
BEGRFM42,r4_2_reference_period_begin_date_month
BEGRFY42,r4_2_reference_period_begin_date_year
ENDRFM42,r4_2_reference_period_end_date_month
ENDRFY42,r4_2_reference_period_end_date_year
BEGRFM53,r5_3_reference_period_begin_date_month
BEGRFY53,r5_3_reference_period_begin_date_year
ENDRFM53,r5_3_reference_period_end_date_month
ENDRFY53,r5_3_reference_period_end_date_year
ENDRFM20,v_2020_reference_period_end_date_month
ENDRFY20,v_2020_reference_period_end_date_year
KEYNESS,person_key_status
INSCOP31,inscope_r3_1
INSCOP42,inscope_r4_2
INSCOP53,inscope_r5_3
INSCOP20,inscope_r5_3_start_through_12_31_20
INSC1231,inscope_status_on_12_31_20
INSCOPE,was_person_ever_inscope_in_2020
ELGRND31,eligibility_r3_1
ELGRND42,eligibility_r4_2
ELGRND53,eligibility_r5_3
ELGRND20,eligibility_status_as_of_12_31_20
PSTATS31,person_disposition_status_r3_1
PSTATS42,person_disposition_status_r4_2
PSTATS53,person_disposition_status_r5_3
RURSLT31,ru_result_r3_1
RURSLT42,ru_result_r4_2
RURSLT53,ru_result_r5_3
AGE31X,age_r3_1_edited_imputed
AGE42X,age_r4_2_edited_imputed
AGE53X,age_r5_3_edited_imputed
AGE20X,age_as_of_12_31_20_edited_imputed
AGELAST,person_s_age_last_time_eligible
DOBMM,date_of_birth_month
DOBYY,date_of_birth_year
SEX,sex
RACEV1X,race_edited_imputed_racev1x
RACEV2X,race_edited_imputed_racev2x
RACEAX,asian_among_races_rptd_edited_imputed
RACEBX,black_among_races_rptd_edited_imputed
RACEWX,white_among_races_rptd_edited_imputed
RACETHX,race_ethnicity_edited_imputed
HISPANX,hispanic_ethnicity_edited_imputed_hispanx
HISPNCAT,hispanic_ethnicity_edited_imputed_hispncat
MARRY31X,marital_status_r3_1_edited_imputed
MARRY42X,marital_status_r4_2_edited_imputed
MARRY53X,marital_status_r5_3_edited_imputed
MARRY20X,marital_status_12_31_20_edited_imputed
SPOUID31,spouse_id_r3_1
SPOUID42,spouse_id_r4_2
SPOUID53,spouse_id_r5_3
SPOUID20,spouse_id_12_31_20
SPOUIN31,marital_status_w_spouse_present_r3_1
SPOUIN42,marital_status_w_spouse_present_r4_2
SPOUIN53,marital_status_w_spouse_present_r5_3
SPOUIN20,marital_status_w_spouse_present_12_31_20
EDUCYR,years_of_educ_when_first_entered_meps
HIDEG,highest_degree_when_first_entered_meps
FTSTU31X,student_status_if_ages_17_23_r3_1
FTSTU42X,student_status_if_ages_17_23_r4_2
FTSTU53X,student_status_if_ages_17_23_r5_3
FTSTU20X,student_status_if_ages_17_23_12_31_20
ACTDTY31,military_full_time_active_duty_r3_1
ACTDTY42,military_full_time_active_duty_r4_2
ACTDTY53,military_full_time_active_duty_r5_3
REFRL31X,relation_to_ref_pers_r3_1_edit_imp
REFRL42X,relation_to_ref_pers_r4_2_edit_imp
REFRL53X,relation_to_ref_pers_r5_3_edit_imp
REFRL20X,relation_to_ref_pers_12_31_20_edit_imp
OTHLGSPK,speak_other_language_at_home
WHTLGSPK,what_language_spoken_other_than_english
HWELLSPK,how_well_person_speaks_english
BORNUSA,person_born_in_the_us
YRSINUS,years_person_lived_in_the_us
MOPID31X,pid_of_person_s_mom_rd_3_1
MOPID42X,pid_of_person_s_mom_rd_4_2
MOPID53X,pid_of_person_s_mom_rd_5_3
DAPID31X,pid_of_person_s_dad_rd_3_1
DAPID42X,pid_of_person_s_dad_rd_4_2
DAPID53X,pid_of_person_s_dad_rd_5_3
RTHLTH31,perceived_health_status_rd_3_1
RTHLTH42,perceived_health_status_rd_4_2
RTHLTH53,perceived_health_status_rd_5_3
MNHLTH31,perceived_mental_health_status_rd_3_1
MNHLTH42,perceived_mental_health_status_rd_4_2
MNHLTH53,perceived_mental_health_status_rd_5_3
HIBPDX,high_blood_pressure_diag_17
HIBPAGED,age_of_diagnosis_high_blood_pressure
BPMLDX,mult_diag_high_blood_press_17
CHDDX,coronary_hrt_disease_diag_17
CHDAGED,age_of_diagnosis_coronary_heart_disease
ANGIDX,angina_diagnosis_17
ANGIAGED,age_of_diagnosis_angina
MIDX,heart_attack_mi_diag_17
MIAGED,age_of_diagnosis_heart_attack_mi
OHRTDX,other_heart_disease_diag_17
OHRTAGED,age_of_diagnosis_other_heart_disease
OHRTTYPE,type_of_other_heart_disease_17
STRKDX,stroke_diagnosis_17
STRKAGED,age_of_diagnosis_stroke
EMPHDX,emphysema_diagnosis_17
EMPHAGED,age_of_diagnosis_emphysema
CHBRON31,chronc_bronchits_last_12_mths_17_r3_1
CHBRON53,chronc_bronchits_last_12_mths_17_r5_3
CHOLDX,high_cholesterol_diagnosis_17
CHOLAGED,age_of_diagnosis_high_cholesterol
CANCERDX,cancer_diagnosis_17
CABLADDR,cancer_diagnosed_bladder_17
CABLOOD,cancer_diagnosed_blood_17
CABREAST,cancer_diagnosed_breast_17
CACERVIX,cancer_diagnosed_cervical_17
CACOLON,cancer_diagnosed_colon_17
CALUNG,cancer_diagnosed_lung_17
CALYMPH,cancer_diagnosed_lymphoma_non_hodgkin_s_17
CAMELANO,cancer_diagnosed_skin_melanoma_17
CAOTHER,cancer_diagnosed_other_17
CAPROSTA,cancer_diagnosed_prostate_17
CASKINNM,cancer_diagnosed_skin_nonmelano_17
CASKINDK,cancer_diagnosed_skin_unknown_type_17
CAUTERUS,cancer_diagnosed_uterine_17
DIABDX_M18,diabetes_diagnosis
DIABAGED,age_of_diagnosis_diabetes
JTPAIN31_M18,joint_pain_last_12_months_17_rd_3_1
JTPAIN53_M18,joint_pain_last_12_months_17_rd_5_3
ARTHDX,arthritis_diagnosis_17
ARTHTYPE,type_of_arthritis_diagnosed_17
ARTHAGED,age_of_diagnosis_arthritis
ASTHDX,asthma_diagnosis
ASTHAGED,age_of_diagnosis_asthma
ASSTIL31,does_person_still_have_asthma_rd_3_1
ASSTIL53,does_person_still_have_asthma_rd_5_3
ASATAK31,asthma_attack_last_12_mos_rd_3_1
ASATAK53,asthma_attack_last_12_mos_rd_5_3
ASTHEP31,when_was_last_episode_of_asthma_rd_3_1
ASTHEP53,when_was_last_episode_of_asthma_rd_5_3
ASACUT31,used_acute_pres_inhaler_last_3_mos_rd_3_1
ASACUT53,used_acute_pres_inhaler_last_3_mos_rd_5_3
ASMRCN31,used_3_acute_cn_pres_inh_last_3_mos_rd_3_1
ASMRCN53,used_3_acute_cn_pres_inh_last_3_mos_rd_5_3
ASPREV31,ever_used_prev_daily_asthma_meds_rd_3_1
ASPREV53,ever_used_prev_daily_asthma_meds_rd_5_3
ASDALY31,now_take_prev_daily_asthma_meds_rd_3_1
ASDALY53,now_take_prev_daily_asthma_meds_rd_5_3
ASPKFL31,have_peak_flow_meter_at_home_rd_3_1
ASPKFL53,have_peak_flow_meter_at_home_rd_5_3
ASEVFL31,ever_used_peak_flow_meter_rd_3_1
ASEVFL53,ever_used_peak_flow_meter_rd_5_3
ASWNFL31,when_last_used_peak_flow_meter_rd_3_1
ASWNFL53,when_last_used_peak_flow_meter_rd_5_3
ADHDADDX,adhd_add_diagnosis_5_17
ADHDAGED,age_of_diagnosis_adhd_add
IADLHP31,iadl_screener_rd_3_1
IADLHP53,iadl_screener_rd_5_3
ADLHLP31,adl_screener_rd_3_1
ADLHLP53,adl_screener_rd_5_3
AIDHLP31,used_assistive_devices_rd_3_1
AIDHLP53,used_assistive_devices_rd_5_3
WLKLIM31,limitation_in_physical_functioning_rd3_1
WLKLIM53,limitation_in_physical_functioning_rd_5_3
LFTDIF31,difficulty_lifting_10_pounds_rd_3_1
LFTDIF53,difficulty_lifting_10_pounds_rd_5_3
STPDIF31,difficulty_walking_up_10_steps_rd_3_1
STPDIF53,difficulty_walking_up_10_steps_rd_5_3
WLKDIF31,difficulty_walking_3_blocks_rd_3_1
WLKDIF53,difficulty_walking_3_blocks_rd_5_3
MILDIF31,difficulty_walking_a_mile_rd_3_1
MILDIF53,difficulty_walking_a_mile_rd_5_3
STNDIF31,difficulty_standing_20_minutes_rd_3_1
STNDIF53,difficulty_standing_20_minutes_rd_5_3
BENDIF31,difficulty_bending_stooping_rd_3_1
BENDIF53,difficulty_bending_stooping_rd_5_3
RCHDIF31,difficulty_reaching_overhead_rd_3_1
RCHDIF53,difficulty_reaching_overhead_rd_5_3
FNGRDF31,difficulty_using_fingers_to_grasp_rd_3_1
FNGRDF53,difficulty_using_fingers_to_grasp_rd_5_3
ACTLIM31,any_limitation_work_housewrk_schl_rd_3_1
ACTLIM53,any_limitation_work_housewrk_schl_rd_5_3
WRKLIM31,work_limitation_rd_3_1
WRKLIM53,work_limitation_rd_5_3
HSELIM31,housework_limitation_rd_3_1
HSELIM53,housework_limitation_rd_5_3
SCHLIM31,school_limitation_rd_3_1
SCHLIM53,school_limitation_rd_5_3
UNABLE31,completely_unable_to_do_activity_rd_3_1
UNABLE53,completely_unable_to_do_activity_rd_5_3
SOCLIM31,social_limitations_rd_3_1
SOCLIM53,social_limitations_rd_5_3
COGLIM31,cognitive_limitations_rd_3_1
COGLIM53,cognitive_limitations_rd_5_3
DFHEAR42,serious_difficulty_hearing_rd_4_2
DFSEE42,serious_difficulty_see_w_glasses_rd_4_2
DFCOG42,serious_cognitive_difficulties_rd_4_2
DFWLKC42,serious_difculty_wlk_climb_stairs_rd_4_2
DFDRSB42,difficulty_dressing_bathing_rd_4_2
DFERND42,difficulty_doing_errands_alone_rd_4_2
ANYLMI20,any_limitation_in_p23r6_7_p24r3_4_5_p25r1_2_3
CHPMED42,cshcn_child_needs_prescrb_med_0_17_r4_2
CHPMHB42,cshcn_pmed_for_hlth_behv_cond_0_17_r4_2
CHPMCN42,cshcn_pmed_cond_last_12_mos_0_17_r4_2
CHSERV42,cshcn_chld_needs_med_oth_serv_0_17_r4_2
CHSRHB42,cshcn_serv_for_hlth_behv_cond_0_17_r4_2
CHSRCN42,cshcn_serv_cond_last_12_mos_0_17_r4_2
CHLIMI42,cshcn_limited_in_any_way_0_17_r4_2
CHLIHB42,cshcn_limt_for_hlth_behv_cond_0_17_r4_2
CHLICO42,cshcn_limit_cond_last_12_mos_0_17_r4_2
CHTHER42,cshcn_chld_needs_spec_therapy_0_17_r4_2
CHTHHB42,cshcn_spec_ther_for_hlth_cond_0_17_r4_2
CHTHCO42,cshcn_ther_cond_last_12_mos_0_17_r4_2
CHCOUN42,cshcn_child_needs_counseling_0_17_r4_2
CHEMPB42,cshcn_couns_prob_last_12_mos_0_17_r4_2
CSHCN42,cshcn_child_w_spec_hc_needs_0_17_r4_2
MESHGT42,doctor_ever_measured_height_0_17_r4_2
WHNHGT42,when_doctor_measured_height_0_17_r4_2
MESWGT42,doctor_ever_measured_weight_0_17_r4_2
WHNWGT42,when_doctor_measured_weight_0_17_r4_2
CHBMIX42,child_s_body_mass_index_6_17_r4_2
MESVIS42,doctor_checked_child_s_vision_3_6_r4_2
EATHLT42,dr_advise_eat_healthy_2_17_r4_2
WHNEAT42,when_dr_advise_eat_healthy_2_17_r4_2
PHYSCL42,dr_advise_exercise_2_17_r4_2
WHNPHY42,when_dr_advise_exercise_2_17_r4_2
SAFEST42,dr_advise_chld_safety_seat_wt_40_r4_2
WHNSAF42,when_dr_advise_safety_seat_wt_40_r4_2
BOOST42,dr_advise_booster_seat_40_wt_80_r4_2
WHNBST42,when_dr_advise_boost_seat_40_wt_80_r4_2
LAPBLT42,dr_advise_lap_shoulder_belt_80_wt_r4_2
WHNLAP42,whn_dr_advise_lap_shldr_blt_80_wt_r4_2
HELMET42,dr_advise_bike_helmet_2_17_r4_2
WHNHEL42,when_dr_advise_bike_helmet_2_17_r4_2
NOSMOK42,dr_advise_smkg_in_home_is_bad_0_17_r4_2
WHNSMK42,whn_dr_advis_smkg_in_home_bad_0_17_r4_2
TIMALN42,doctor_spend_any_time_alone_12_17_r4_2
LSTETH53,lost_all_uppr_and_lowr_teeth_17_rd5_3
PHYEXE53,mod_vig_phys_exec_5x_wk_17_rd_5_3
OFTSMK53,how_oftn_smoke_cigarettes_17_rd_5_3
SAQELIG,eligibility_status_for_saq
ADPROX42,saq_relationship_of_proxy_to_adult
ADSEX42,saq_survey_gender
ADAGE42,saq_survey_age
ADGENH42,saq_health_in_general_vr_12
ADDAYA42,saq_hlth_limits_mod_activities_vr_12
ADCLIM42,saq_hlth_limits_climbing_stairs_vr_12
ADACLS42,saq_4wks_accmp_less_b_c_phy_prbs_vr_12
ADWKLM42,saq_4wks_work_limt_b_c_phy_probs_vr_12
ADEMLS42,saq_4wks_accmp_less_b_c_mnt_prbs_vr_12
ADMWCF42,saq_4wks_work_limt_b_c_mnt_probs_vr_12
ADPAIN42,saq_4wks_pain_limits_normal_work_vr_12
ADPCFL42,saq_4wks_felt_calm_peaceful_vr_12
ADENGY42,saq_4wks_had_a_lot_of_energy_vr_12
ADPRST42,saq_4wks_felt_downhearted_depr_vr_12
ADSOCA42,saq_4wks_hlth_stopped_soc_activ_vr_12
VPCS42,saq_phy_component_summry_vr_12_imputed
VMCS42,saq_mnt_component_summry_vr_12_imputed
VRFLAG42,saq_vpcs42_vmcs42_imputation_flag_vr_12
ADNERV42,saq_30_days_how_often_felt_nervous
ADHOPE42,saq_30_days_how_often_felt_hopeless
ADREST42,saq_30_days_how_often_felt_restless
ADSAD42,saq_30_days_how_often_felt_sad
ADEFRT42,saq_30_days_how_oftn_everythng_an_effort
ADWRTH42,saq_30_days_how_often_felt_worthless
K6SUM42,saq_30_days_overall_rating_of_feelings
