start,end,name
1,7,DUID
8,10,PID
11,20,DUPERSID
21,22,PANEL
23,26,DATAYEAR
27,28,FAMID31
29,30,FAMID42
31,32,FAMID53
33,34,FAMID22
35,36,FAMIDYR
37,38,CPSFAMID
39,40,FCSZ1231
41,42,FCRP1231
43,44,RULETR31
45,46,RULETR42
47,48,RULETR53
49,51,RULETR22
52,53,RUSIZE31
54,55,RUSIZE42
56,57,RUSIZE53
58,59,RUSIZE22
60,61,RUCLAS31
62,63,RUCLAS42
64,65,RUCLAS53
66,66,RUCLAS22
67,68,FAMSZE31
69,70,FAMSZE42
71,72,FAMSZE53
73,74,FAMSZE22
75,76,FMRS1231
77,78,FAMS1231
79,80,FAMSZEYR
81,81,FAMRFPYR
82,83,REGION31
84,85,REGION42
86,87,REGION53
88,89,REGION22
90,92,REFPRS31
93,95,REFPRS42
96,98,REFPRS53
99,101,REFPRS22
102,102,RESP31
103,103,RESP42
104,104,RESP53
105,105,RESP22
106,107,PROXY31
108,109,PROXY42
110,111,PROXY53
112,112,PROXY22
113,114,INTVLANG
115,116,INTVTYPE31
117,118,INTVTYPE42
119,120,INTVTYPE53
121,122,BEGRFM31
123,126,BEGRFY31
127,128,ENDRFM31
129,132,ENDRFY31
133,134,BEGRFM42
135,138,BEGRFY42
139,140,ENDRFM42
141,144,ENDRFY42
145,146,BEGRFM53
147,150,BEGRFY53
151,152,ENDRFM53
153,156,ENDRFY53
157,158,ENDRFM22
159,162,ENDRFY22
163,163,KEYNESS
164,164,INSCOP31
165,165,INSCOP42
166,166,INSCOP53
167,167,INSCOP22
168,168,INSC1231
169,169,INSCOPE
170,170,ELGRND31
171,171,ELGRND42
172,172,ELGRND53
173,173,ELGRND22
174,175,PSTATS31
176,177,PSTATS42
178,179,PSTATS53
180,181,RURSLT31
182,183,RURSLT42
184,185,RURSLT53
186,187,AGE31X
188,189,AGE42X
190,191,AGE53X
192,193,AGE22X
194,195,AGELAST
196,197,DOBMM
198,201,DOBYY
202,202,SEX
203,203,RACEV1X
204,205,RACEV2X
206,206,RACEAX
207,207,RACEBX
208,208,RACEWX
209,209,RACETHX
210,210,HISPANX
211,211,HISPNCAT
212,213,MARRY31X
214,215,MARRY42X
216,217,MARRY53X
218,219,MARRY22X
220,222,SPOUID31
223,225,SPOUID42
226,228,SPOUID53
229,231,SPOUID22
232,234,SPOUIN31
235,237,SPOUIN42
238,240,SPOUIN53
241,243,SPOUIN22
244,245,EDUCYR
246,247,HIDEG
248,249,FTSTU31X
250,251,FTSTU42X
252,253,FTSTU53X
254,255,FTSTU22X
256,257,ACTDTY31
258,259,ACTDTY42
260,261,ACTDTY53
262,263,REFRL31X
264,265,REFRL42X
266,267,REFRL53X
268,269,REFRL22X
270,271,OTHLGSPK
272,273,WHTLGSPK
274,275,HWELLSPK
276,277,BORNUSA
278,279,YRSINUS
280,282,MOPID31X
283,285,MOPID42X
286,288,MOPID53X
289,291,DAPID31X
292,294,DAPID42X
295,297,DAPID53X
298,299,HIBPDX
300,301,HIBPAGED
302,303,BPMLDX
304,305,CHDDX
306,307,CHDAGED
308,309,ANGIDX
310,311,ANGIAGED
312,313,MIDX
314,315,MIAGED
316,317,OHRTDX
318,319,OHRTAGED
320,321,OHRTTYPE
322,323,STRKDX
324,325,STRKAGED
326,327,EMPHDX
328,329,EMPHAGED
330,331,CHBRON31
332,333,CHOLDX
334,335,CHOLAGED
336,338,CANCERDX
339,340,CABLADDR
341,342,CABREAST
343,344,CACERVIX
345,346,CACOLON
347,348,CALUNG
349,350,CALYMPH
351,352,CAMELANO
353,354,CAOTHER
355,356,CAPROSTA
357,358,CASKINNM
359,360,CASKINDK
361,362,CAUTERUS
363,364,DIABDX_M18
365,366,DIABAGED
367,368,JTPAIN31_M18
369,370,ARTHDX
371,372,ARTHTYPE
373,375,ARTHAGED
376,377,ASTHDX
378,379,ASTHAGED
380,381,ASSTIL31
382,383,ASATAK31
384,385,ASTHEP31
386,387,ASACUT31
388,389,ASMRCN31
390,391,ASPREV31
392,393,ASDALY31
394,395,ASPKFL31
396,397,ASEVFL31
398,399,ASWNFL31
400,401,ADHDADDX
402,403,ADHDAGED
404,405,COVIDEVER53
406,407,LCEVER53
408,409,COVSYMNOW53
410,411,COVREDABIL53
412,413,COVID12MO53
414,416,COVMNTHX53
417,420,COVYRDX53
421,422,RTHLTH31
423,424,RTHLTH42
425,426,RTHLTH53
427,428,MNHLTH31
429,430,MNHLTH42
431,432,MNHLTH53
433,434,IADLHP31
435,436,ADLHLP31
437,438,AIDHLP31
439,440,WLKLIM31
441,442,LFTDIF31
443,444,STPDIF31
445,446,WLKDIF31
447,448,MILDIF31
449,450,STNDIF31
451,452,BENDIF31
453,454,RCHDIF31
455,456,FNGRDF31
457,458,ACTLIM31
459,460,WRKLIM31
461,462,HSELIM31
463,464,SCHLIM31
465,466,UNABLE31
467,468,SOCLIM31
469,470,COGLIM31
471,472,DFHEAR42
473,474,DFSEE42
475,476,DFCOG42
477,478,DFWLKC42
479,480,DFDRSB42
481,482,DFERND42
483,485,ANYLMI22
486,487,CHPMED42
488,489,CHPMHB42
490,491,CHPMCN42
492,493,CHSERV42
494,495,CHSRHB42
496,497,CHSRCN42
498,499,CHLIMI42
500,501,CHLIHB42
502,503,CHLICO42
504,505,CHTHER42
506,507,CHTHHB42
508,509,CHTHCO42
